PRIMARY_TICKER,EVENT_TIMESTAMP,EVENT_TYPE,CREATED_AT,SENTIMENT_SCORE,UNIQUE_ANALYST_COUNT,SENTIMENT_REASON
AERO,2024-07-25T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,5,3,"Analysts expressed neutral to cautious sentiment with concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
AGRI,2024-08-05T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"Analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with constructive forward-looking questions"
AQUA,2024-09-12T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
AUTO,2024-09-01T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
BANK,2024-08-03T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"All three analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with no concerns raised"
BIOX,2024-08-12T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"All three analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
BREW,2024-07-29T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
CARG,2024-08-13T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
CHEM,2024-07-26T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
CLIM,2024-07-30T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,2,3,"Analysts used harsh language like 'elephant in the room', 'significant miss', 'disappointing', and 'concerning', indicating very negative sentiment"
CONS,2024-09-07T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
CTLG,2024-09-15T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"Analysts used highly positive language like 'incredible quarter', 'outstanding execution', 'stellar', 'remarkable growth', and 'tremendously encouraging' with no negative concerns raised"
CUST,2024-08-23T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts used cautious language like 'mixed results', 'margins under pressure', and 'mixed signals from customers' indicating neutral to negative sentiment"
CYBX,2024-08-15T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges with somewhat skeptical tone"
DFLX,2024-08-28T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts asked pointed questions about mixed results, margin pressure, and competitive concerns but received vague, non-specific responses from management"
DIAG,2024-09-27T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts used cautious language like 'mixed results', 'margins under pressure', and 'mixed signals from customers', indicating concerns despite strong revenue growth"
DRON,2024-09-13T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"Analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with constructive forward-looking questions"
EDUC,2024-09-18T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts express concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
ELEC,2024-07-14T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
ENRG,2024-08-25T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,2,3,"Analysts expressed deep disappointment with significant miss, deteriorating fundamentals, execution issues, and concerning guidance cuts"
FASH,2024-07-15T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"All three analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with constructive forward-looking questions"
FERT,2024-08-07T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"All three analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with constructive forward-looking questions"
FINQ,2024-09-20T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,2,3,"Analysts expressed deep concern about significant misses, deteriorating fundamentals, disappointing results, and declining market share with very negative tone"
FOOD,2024-07-22T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
FRAN,2024-09-17T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"Analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with constructive forward-looking questions"
GAME,2024-09-22T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
GENM,2024-09-28T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
GOVE,2024-07-24T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,3,3,"All three analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
HLTH,2024-08-08T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,2,3,"Analysts expressed deep disappointment with significant miss, deteriorating fundamentals, execution issues, and concerning guidance cuts"
HOST,2024-08-11T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
HRMS,2024-09-23T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
HVAC,2024-07-11T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
ICBG,2024-09-25T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about pricing pressure, market share, growth deceleration, conservative guidance, and macro headwinds. Management responses were vague and evasive."
INNO,2024-09-26T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"Analysts used highly positive language like 'quite strong', 'Great quarter!', 'impressed by execution', and 'encouraging' with constructive forward-looking questions"
INSU,2024-09-14T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts used cautious language like 'mixed results', 'margins under pressure', and 'mixed signals from customers' indicating concerns despite strong revenue growth"
IRRI,2024-08-09T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
JANI,2024-09-25T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
JEWL,2024-07-19T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
KINE,2024-07-26T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts used concerning language like 'mixed results', 'margins under pressure', and 'mixed signals from customers' despite strong revenue growth"
KNOW,2024-08-29T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,3,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
LAWN,2024-08-15T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite solid results"
